latitud,longitud,property_surface_total,property_surface_covered
-34.5550487,-58.4905135,58.0,49.0
-34.546991,-58.4785532,48.0,44.0
-34.5708421,-58.4918048,62.0,58.0
-34.5892511,-58.4021058,60.0,60.0
-34.6262899,-58.4376325,67.0,61.0
-34.5724108,-58.4205928,450.0,450.0
-34.6309534,-58.4203424,184.0,184.0
-34.5982786,-58.4224631,89.0,83.0
-34.6358124,-58.4692136,65.0,38.0
-34.603872,-58.430833,35.0,35.0
-34.5822138,-58.4062668,108.0,99.0
-34.6304479,-58.4954881,92.0,76.0
-34.6123880214,-58.4987801079,35.0,34.0
-34.55476263,-58.45024143,60.0,58.0
-34.6325361,-58.4350158,450.0,220.0
-34.5681621,-58.4540913,46.0,46.0
-34.59925,-58.371479,33.0,33.0
-34.6058373,-58.4246868,27.0,27.0
-34.5495125,-58.4728257,56.0,50.0
-34.6148984,-58.4461156,57.0,48.0
-34.6052647,-58.4245794,37.0,35.0
-34.5628112,-58.4654355,53.0,47.0
-34.5795573,-58.433152,47.0,41.0
-34.5810083,-58.4493283,83.0,76.0
-34.6076726,-58.4046517,83.0,71.0
-34.6355606,-58.4296668,190.0,190.0
-34.5550545,-58.4510731,32.0,28.0
-34.5800605,-58.4395272,57.0,57.0
-34.5660232,-58.4489418,210.0,195.0
-34.6078712,-58.4078202,100.0,96.0
-34.628187,-58.4295863,47.0,43.0
-34.58839659,-58.37599361,42.0,42.0
-34.6185557,-58.4987815,80.0,80.0
-34.5645321,-58.4451793,311.0,311.0
-34.5784277182,-58.4076089148,43.0,43.0
-34.5744113,-58.4891017,49.0,49.0
-34.5998214,-58.4348461,35.0,35.0
-34.6232131,-58.4193146,52.0,47.0
-34.5995319927,-58.4623718262,21.0,21.0
-34.618711,-58.410294,28.0,28.0
-34.6050916,-58.4261744,25.0,25.0
-34.566787,-58.462843,38.0,36.0
-34.5989188655,-58.4026240693,112.0,112.0
-34.5656058,-58.448062,74.0,71.0
-34.6166343,-58.4088125,20.0,20.0
-34.606402,-58.430805,60.0,60.0
-34.612511641,-58.498844481,38.0,36.0
-34.550292,-58.4685955,105.0,98.0
-34.5766808,-58.4879129,94.0,94.0
-34.5543838,-58.4581578,73.0,65.0
-34.5867165,-58.4253612,81.0,70.0
